AR_G_(1),AR_G_(2),AR_G_(3),AR_G_(4),mu(G),loglik_G,logpost_G,MA_G,measerr_scale_G,sigma_G,VAR_G,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
1.45561039871,5.71580956338,2.26817316335,0.00650020341945,18.1618565382,130.202315927,130.202315927,2.25803997131e-32,1.04163601691,0.020373829875,0.0135265663589,45.32733,45.48131,2.66e45,43.32896,43.40307,42.46937,42.26057
0.943961802668,2.63759170408,1.88138839762,0.00529728779848,18.8730179699,149.906769515,149.906769515,1.94612688968e-35,1.02280068781,0.0191466326844,0.0176993342442,44.51848,44.56355,3.99e43,42.77419,42.88364,42.14843,41.77629
0.443117947778,0.531011127983,0.00851266656908,2.77905423574e-05,20.1137220956,105.10450014,105.10450014,6.83287127204e-19,1.11577830444,0.000346796021967,0.24305011435,44.32612,44.48522,3.69e44,42.49316,42.96359,42.26489,41.71549
2.37035343343,0.183625367232,0.00279449702169,9.66024016456e-06,19.8727223355,98.7179902652,71.6722330187,5.09609883794e-18,0.917479121549,1.53999685612e-05,0.0161395311429,44.69770,44.94271,3.47e45,42.94092,43.16836,42.23722,41.18078
0.432794818208,7.92889241052,16.4035750506,0.0448505253298,19.6309185575,125.08947746,125.08947746,2.91318635002e-61,0.877315078445,0.204625378576,0.027365656821,44.30242,44.85158,5.48e43,42.53794,43.45705,41.93680,42.12107
1.42385546492,0.197091543499,0.00566364096668,1.74602538186e-05,20.5587413392,87.6630656849,87.6630656849,1.38262757366e-23,1.07806314462,0.000169923222468,0.142690771856,44.83574,44.44037,1.28e45,42.97453,42.68371,42.56680,42.05108
0.4931368634,1.71559445493,0.405779825273,0.00181239042457,20.7672055443,87.2936690686,127.47236906,4.37225381236e-22,1.11613504342,0.00695279144252,0.0389197850247,44.57033,45.03819,6.45e44,42.60063,43.23716,42.09058,41.75146
 2.17553904188,0.246670043675,0.007937675188,3.41663939356e-05,19.28519762,127.47236906,127.449660365,2.75091557514e-20,1.05821778132,0.00013332512667,0.0326035829961,44.30397,45.01922,9.77e43,43.24299,43.23716,42.77714,42.05108
2.27413362413,6.28434882073,4.24674525839,0.000186817989503,18.7878142836,127.449660365,135.415959646,2.35129573975e-32,1.02906553582,0.0677639922425,0.0218306812524,44.43193,44.83776,3.95e44,42.59860,42.99633,41.67878,41.75146
1.20239906714,2.70575271896,3.60188776171,0.00148343718702,18.0126934606,135.415959646,108.173489795,8.77378703721e-29,1.05153540311,0.0216251268867,0.00717020712306,44.75459,44.34770,5.36e44,42.46524,42.74858,42.64946,42.27146
