AR_Z_(1),AR_Z_(2),AR_Z_(3),AR_Z_(4),mu_(Z),loglik_Z,logpost_Z,MA_Z,measerr_scale_Z,sigma_Z,VAR_Z,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
0.534100960107,0.589305809483,0.0157958301546,0.000112362513647,17.7090504802,137.892281261,137.892281261,7.62650836758e-51,1.12866523022,8.49890792829e-05,0.00234570489796,45.32733,45.48131,2.66e45,43.32896,43.40307,42.46937,42.26057
0.544277380788,0.281835212827,0.00410751055234,1.45858971263e-05,18.8944562406,113.125077775,113.125077775,7.1574083909e-20,0.928673738472,5.15451849642e-05,0.0206438215298,44.51848,44.56355,3.99e43,42.77419,42.88364,42.14843,41.77629
0.497132752873,0.156123059884,0.00194456184681,5.71563867845e-06,19.9198829344,54.439426722,54.439426722,2.56671441737,1.12835548627,6.0208686662e-05,0.14180534825,44.32612,44.48522,3.69e44,42.49316,42.96359,42.26489,41.71549
0.41623580118,0.391727116072,0.0163653040774,0.000218607227824,19.6224306364,65.5670991375,65.5670991375,0.0168552639651,1.29158043963,6.60587627288e-08,0.00427672062573,44.69770,44.94271,3.47e45,42.94092,43.16836,42.23722,41.18078
0.731127176434,1.5299682248,0.0447949435158,0.000486865871624,18.9318040963,100.51363346,100.51363346,2.08156145475e-31,0.993959814838,1.90488964454e-05,0.00504509661386,44.30242,44.85158,5.48e43,42.53794,43.45705,41.93680,42.12107
0.464139762298,0.179344926967,0.00368555230505,1.46471866096e-05,19.7250604414,55.1077943166,55.1077943166,1.20105613021e-24,1.24845742225,0.000106366108067,0.101042759556,44.83574,44.44037,1.28e45,42.97453,42.68371,42.56680,42.05108
0.716236668466,0.456956251838,0.0148739840738,9.10683007305e-05,19.8738406882,58.256014566,58.256014566,8.22660519808e-42,1.29594796902,0.000100896567116,0.00724984931508,44.57033,45.03819,6.45e44,42.60063,43.23716,42.09058,41.75146
0.489555310583,0.216112000159,0.00510754636523,2.00100188157e-05,19.1229347266,78.3196616005,78.3196616005,7.82458459033e-19,1.22100739278,3.07615563269e-05,0.00792361228152,44.30397,45.01922,9.77e43,43.24299,43.23716,42.77714,42.05108
1.20410688648,1.28785797912,0.153418879912,0.0007104098219,18.2702254036,98.9927310704,98.9927310704,1.23620425137e-10,1.11023864794,0.00196746678947,0.0166554103248,44.43193,44.83776,3.95e44,42.59860,42.99633,41.67878,41.75146
1.26195826138,14.4037492154,0.459345819749,0.00418291259879,17.6837866956,115.243242005,115.243242005,9.91277895875e-46,1.33194931132,0.00260423958516,0.00474957350143,44.75459,44.34770,5.36e44,42.46524,42.74858,42.64946,42.27146
0.690545366542,0.197198632247,0.00269680921035,6.68613491663e-06,19.1078113164,95.6338371528,95.6338371528,3.84590575204e-56,1.1594099498,1.85959770786e-05,0.00961237579193,44.69916,44.65749,2.81e43,43.46676,42.96205,42.07596,41.86849
0.709414201277,0.518684822856,0.0126517174022,8.91609817167e-05,19.6323506917,61.5905216707,61.5905216707,9.02964546126e-26,1.0937785169,2.4697882122e-05,0.00482687551559,44.88584,45.15750,2.01e45,42.78628,43.15557,42.64170,42.36900
0.551239022802,0.18657978743,0.00310318244285,1.59305673202e-05,19.816197952,69.1532994617,69.1532994617,4.29233080765e-14,1.08782048375,3.20691294116e-05,0.0149179687472,44.43886,44.86974,8.19e45,43.07690,42.93223,42.35470,42.20851
