AR_I_(1),AR_I_(2),AR_I_(3),AR_I_(4),mu_(I),loglik_I,logpost_I,MA_I,measerr_scale_I,sigma_I,VAR_I,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
1.47146896669,2.62463083285,3.53763736323,0.00995016767815,17.8103812633,141.824068915,141.824068915,2.55929777625e-39,1.13345738875,0.0206954110132,0.00640178219214,45.32733,45.48131,2.66e45,43.32896,43.40307,42.46937,42.26057
1.0201098756,2.51065024417,1.24394609518,0.0034138659205,18.8740279159,151.780280831,151.780280831,5.87477095098e-33,1.16052318765,0.011340595454,0.0158171835304,44.51848,44.56355,3.99e43,42.77419,42.88364,42.14843,41.77629
0.537923585709,0.114183105571,0.00119396911145,3.44696734149e-06,20.0156394251,92.6146599874,92.6146599874,5.37458758361e-14,1.06708345162,4.67528283702e-05,0.221103491588,44.32612,44.48522,3.69e44,42.49316,42.96359,42.26489,41.71549
0.343262578241,0.129539295655,0.00998715299479,3.8863880628e-05,19.6604931999,110.824485425,110.824485425,3.7400921185e-22,1.1672572262,3.30648898629e-05,0.00872595400327,44.69770,44.94271,3.47e45,42.94092,43.16836,42.23722,41.18078
0.115154754129,0.115154754129,0.0547231532745,0.000500039811639,19.2084727155,112.537535475,112.537535475,1.12717331773e+28,1.14795918031,3.93595730331e-30,0.012006886515,44.30242,44.85158,5.48e43,42.53794,43.45705,41.93680,42.12107
0.397381855456,0.117424606437,0.00135911166517,3.47466761699e-06,20.086224986,82.6536216174,82.6536216174,9.75113128089e-15,1.2940090706,3.88282630693e-05,0.18462710982,44.83574,44.44037,1.28e45,42.97453,42.68371,42.56680,42.05108
0.947051706789,0.978607654578,0.0207398695094,9.78583395672e-05,20.1141617953,90.3900986776,90.3900986776,1.89051996553e-20,1.62376648863,0.000131123843885,0.0282425517714,44.57033,45.03819,6.45e44,42.60063,43.23716,42.09058,41.75146
0.663434884988,0.847419791925,0.0467351896926,0.000143831483176,19.2802563383,115.311502957,115.311502957,9.31754560071e-53,1.2778306553,6.25613683721e-05,0.0206013968071,44.30397,45.01922,9.77e43,43.24299,43.23716,42.77714,42.05108
1.64088809748,3.51067382306,4.29279622372,0.0128382250327,18.3679007056,120.670277704,120.670277704,1.8241362868e-37,1.1119743243,0.0390724399868,0.0142048053089,44.43193,44.83776,3.95e44,42.59860,42.99633,41.67878,41.75146
1.14399329515,12.0917794476,2.75847980293,0.0267335357605,17.764051613,128.871745744,128.871745744,0.00560194387781,1.06381018063,0.0246227312706,0.00387565604931,44.75459,44.34770,5.36e44,42.46524,42.74858,42.64946,42.27146
