AR_U_(1),AR_U_(2),AR_U_(3),AR_U_(4),mu(U),loglik_U,Logpost_U,MA_U,measerr_scale_U,SIGMA_U,var_U,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
1.10583809538,0.212886722751,0.00357168066531,2.75341720462e-05,20.4605224911,74.8358867829,74.8358867829,9.14454654297e-33,1.08833402129,4.79694968918e-05,0.0302280663971,44.78482,44.68607,8.02e44,42.53414,42.81552,41.89582,41.86565
0.468388320261,1.1185624071,0.0652445894939,5.60637685992e-05,18.8123439305,100.546046277,100.546046277,1.42720168083e-17,1.07534232084,0.000358662272349,0.0139054331727,45.22008,44.85840,7.05e44,42.60624,42.91650,41.85748,41.63610
0.417968429331,0.269053931993,0.00683988427252,0.000250303119028,20.5174740287,53.352733216,53.352733216,3.64472801225e-25,1.00001414253,4.75631976052e-05,0.0249835719827,44.67030,44.66664,5.36e44,42.71966,42.88055,42.92163,40.86044
0.768165442249,0.129243756101,0.00744252911197,4.21778347798e-05,20.0356570545,75.5628775997,75.5628775997,1.36222186563e-15,1.29169984043,8.80875473273e-05,0.0157201347853,44.23784,44.89960,1.91e45,42.34346,43.17620,42.36641,41.51476
0.403970419386,0.239073472886,0.00454834313329,7.22073211692e-05,18.502773466,114.678430385,114.678430385,1.61491258581e-38,1.14307359356,7.40430290483e-05,0.0432272725309,44.59427,45.16364,8.01e43,42.67943,43.34918,41.82378,41.74407
0.886289248456,0.0822001844274,0.00272111474691,1.22530042184e-05,20.0600511969,108.271261666,64.2410445385,2.32525062271e-26,0.979908337446,8.35898312527e-05,0.0761827623297,44.80879,45.38134,1.63e45,42.52063,42.99591,41.53349,41.82133
0.460896997347,0.665044645566,0.027747322297,1.97723190472e-05,20.8117859993,58.5346880785,58.5346880785,1.47819780505e-33,0.953380644787,0.000393005065056,0.0591288185966,44.75154,44.71793,1.32e45,42.55448,42.67819,42.01386,40.68333
0.666228435468,0.507966009092,0.0107248652489,0.000246756594,20.1079301692,74.1909829096,74.1909829096,4.46538155933e-13,1.18646862398,0.000432420453922,0.208180372953,44.08426,44.52579,1.01e45,42.22238,42.87405,41.86658,40.86122
0.594062390015,0.563996503569,0.040361142446,3.6836583667e-05,19.4749611803,67.854540043,67.854540043,3.97998699307e-29,1.047981936,0.000905654074845,0.0687098729719,44.34647,44.77300,6.82e44,42.53414,42.82767,41.64106,42.45178
1.51302978305,0.163160878731,0.00386958597194,0.000145040843004,17.4834369525,115.239858869,115.239858869,2.15843141532e-25,1.05633605166,0.000106509988531,0.0695619975993,44.41080,44.90015,1.58e44,42.31086,43.02815,42.85326,40.90548
